#XAMS_BESI_NL0012866412-j_d01
#yyyy/MM/dd
#Date,Open,High,Low,Close,Volume
2019/01/02;18.29;18.81;17.93;18.706;504066
2019/01/03;18.12;18.23;17.32;17.504;1087725
2019/01/04;17.5;17.98;17.45;17.752;509279
2019/01/07;18.086;18.858;18.014;18.75;758588
2019/01/08;18.59;19.162;18.35;18.7;762024
2019/01/09;19;19.01;18.54;18.594;604749
2019/01/10;18.498;18.93;18.15;18.85;514449
2019/01/11;18.91;19.04;18.714;18.928;449400
2019/01/14;18.688;18.96;18.504;18.554;320643
2019/01/15;18.752;19.13;18.75;18.814;497002
2019/01/16;18.922;19.15;18.9;18.99;476736
2019/01/17;18.894;19.148;18.67;18.922;456706
2019/01/18;19.1;19.654;19.04;19.642;839867
2019/01/21;19.454;20.12;19.2;19.77;511479
2019/01/22;19.65;19.68;18.998;19.122;547024
2019/01/23;18.696;19.436;18.5;19.242;700339
2019/01/24;19.222;20.52;19.222;20.455;1398657
2019/01/25;20.75;21.64;20.75;21.56;1336519
2019/01/28;21.56;21.94;20.81;21.5;1197999
2019/01/29;21.41;22.15;21.21;21.88;869864
2019/01/30;22.2;22.52;21.94;22.215;720026
2019/01/31;22.6;22.735;22.32;22.665;859218
2019/02/01;22.75;22.875;22.24;22.8;561664
2019/02/04;22.865;23.075;22.69;22.93;593563
2019/02/05;22.84;23.15;22.75;23.15;527429
2019/02/06;23.005;23.6;22.965;23.475;696295
2019/02/07;23.315;23.4;22.685;22.685;749015
2019/02/08;22.4;22.675;21.36;21.94;1025697
2019/02/11;22.37;22.895;22.255;22.51;644287
2019/02/12;22.28;22.5;21.61;22.36;1011194
2019/02/13;22.6;22.74;22.48;22.72;583500
2019/02/14;22.74;23.065;22.56;22.895;626464
2019/02/15;22.9;23.035;22.48;22.595;706654
2019/02/18;22.6;22.705;22.12;22.2;555259
2019/02/19;22.305;22.4;21.565;21.78;620887
2019/02/20;21.55;23.4;21.55;22.55;2234675
2019/02/21;22.6;22.64;22.125;22.21;932099
2019/02/22;22.2;22.64;22.15;22.5;655060
2019/02/25;22.725;23.72;22.68;23.34;803324
2019/02/26;23.18;23.45;22.68;22.86;757173
2019/02/27;22.8;22.8;22.115;22.22;667765
2019/02/28;22.02;22.34;21.655;22;547863
